event,series,window,CAR,t,sig
iran_12day,d_VIXCLS,"(0,50)",-8.436749999999998,-0.604107278170804,
iran_12day,USD_EW,"(0,5)",0.006539538089503831,0.8345208650961694,
iran_12day,USD_EW,"(0,20)",-0.0026873326747661273,-0.1833063612274362,
iran_12day,USD_EW,"(0,50)",-0.0032043714343052447,-0.1402566670947777,
iran_12day,SAFE,"(0,5)",-0.007770772034918574,-0.8478962899725639,
iran_12day,SAFE,"(0,20)",0.0058567931006273406,0.34158943225231836,
iran_12day,SAFE,"(0,50)",-0.0016743272005373244,-0.06266274797115642,
iran_12day,RISKY,"(0,5)",-0.006982555668769243,-0.7752358900231779,
iran_12day,RISKY,"(0,20)",0.004596678120578898,0.27279068418901503,
iran_12day,RISKY,"(0,50)",0.013810137201253278,0.5259058405700753,
iran_12day,CARRY_HML,"(0,5)",0.000788216366149586,0.12513433786088682,
iran_12day,CARRY_HML,"(0,20)",-0.0012601149800481183,-0.10693188042136009,
iran_12day,CARRY_HML,"(0,50)",0.015484464401791092,0.8431751079965495,
iran_12day,OIL_EXP,"(0,5)",-0.0032797609372951994,-0.39919573100111716,
iran_12day,OIL_EXP,"(0,20)",0.0018724342088073773,0.12181934051446107,
iran_12day,OIL_EXP,"(0,50)",0.002551349923221477,0.10651340382384258,
iran_12day,OIL_IMP,"(0,5)",-0.009249276580614382,-1.3902069329274036,
iran_12day,OIL_IMP,"(0,20)",-0.003950870715190751,-0.3174172172572462,
iran_12day,OIL_IMP,"(0,50)",-0.0075632437292671405,-0.3899153357859357,
hormuz,r_DTWEXBGS,"(0,5)",0.01387795153370701,2.455059128824574,**
hormuz,r_DTWEXBGS,"(0,20)",0.027611164570657293,2.6108822889866823,***
hormuz,r_DTWEXBGS,"(0,50)",-0.0013080980248521266,-0.0793720170366163,
hormuz,r_SP500,"(0,5)",-0.016358957774526832,-0.9660404859726788,
hormuz,r_SP500,"(0,20)",-0.09581594829649431,-3.024429575595284,***
hormuz,r_SP500,"(0,50)",0.03875312560601345,0.7849409189342893,
hormuz,r_DCOILBRENTEU,"(0,5)",0.28715983641225945,6.914689937237673,***
hormuz,r_DCOILBRENTEU,"(0,20)",0.5614989126968081,7.227097450422227,***
hormuz,r_DCOILBRENTEU,"(0,50)",0.45956503842799745,3.7956532662025158,***
hormuz,r_DCOILWTICO,"(0,5)",0.3551845174270359,9.450193913729262,***
hormuz,r_DCOILWTICO,"(0,20)",0.4787374069852755,6.8084779390983545,***
hormuz,r_DCOILWTICO,"(0,50)",0.49385389125510715,4.506877053947815,***
hormuz,r_Gold,"(0,5)",-0.03637080489659274,-1.3067063529697625,
hormuz,r_Gold,"(0,20)",-0.19911772360579155,-3.823851224784052,***
hormuz,r_Gold,"(0,50)",-0.2163613575667993,-2.666215969034536,***
hormuz,d_DGS10,"(0,5)",0.1594999999999997,1.6650368253575765,*
hormuz,d_DGS10,"(0,20)",0.4132499999999991,2.3059081051976555,**
hormuz,d_DGS10,"(0,50)",0.5307499999999994,1.9003941977064425,*
hormuz,d_VIXCLS,"(0,5)",5.768500000000001,1.734483195531095,*
hormuz,d_VIXCLS,"(0,20)",11.199750000000002,1.8000373055741095,*
hormuz,d_VIXCLS,"(0,50)",-0.3877499999999967,-0.03998982864643282,
hormuz,USD_EW,"(0,5)",0.012211187550709674,2.0225667060479036,**
hormuz,USD_EW,"(0,20)",0.03002375088640591,2.6581279262408666,***
hormuz,USD_EW,"(0,50)",0.0009008008372313068,0.05117575642378639,
hormuz,SAFE,"(0,5)",-0.00854851870883616,-1.1344454188405861,
hormuz,SAFE,"(0,20)",-0.029990773049360462,-2.127386394253731,**
hormuz,SAFE,"(0,50)",0.004213102553005038,0.19177204829395747,
hormuz,RISKY,"(0,5)",-0.017067536098625782,-2.5597383301962053,**
hormuz,RISKY,"(0,20)",-0.03802119328207625,-3.048010525610309,***
hormuz,RISKY,"(0,50)",-0.002670660634900227,-0.13738331257369588,
hormuz,CARRY_HML,"(0,5)",-0.008519017389789722,-1.7949689599568894,*
hormuz,CARRY_HML,"(0,20)",-0.00803042023271587,-0.9044231879335367,
hormuz,CARRY_HML,"(0,50)",-0.006883763187905268,-0.497489474486335,
hormuz,OIL_EXP,"(0,5)",-0.005303789592613724,-0.8241344277345201,
hormuz,OIL_EXP,"(0,20)",-0.01555442609816867,-1.2919084528997198,
hormuz,OIL_EXP,"(0,50)",0.008475716938775314,0.45172981063360046,
hormuz,OIL_IMP,"(0,5)",-0.009383599391583636,-1.715952277766925,*
hormuz,OIL_IMP,"(0,20)",-0.023250497829431428,-2.272657451451269,**
hormuz,OIL_IMP,"(0,50)",-0.0003102277774124965,-0.01945839278077432,
hormuz_closure,r_DTWEXBGS,"(0,5)",0.01387795153370701,2.455059128824574,**
hormuz_closure,r_DTWEXBGS,"(0,20)",0.027611164570657293,2.6108822889866823,***
hormuz_closure,r_DTWEXBGS,"(0,50)",-0.0013080980248521266,-0.0793720170366163,
hormuz_closure,r_SP500,"(0,5)",-0.016358957774526832,-0.9660404859726788,
hormuz_closure,r_SP500,"(0,20)",-0.09581594829649431,-3.024429575595284,***
hormuz_closure,r_SP500,"(0,50)",0.03875312560601345,0.7849409189342893,
hormuz_closure,r_DCOILBRENTEU,"(0,5)",0.28715983641225945,6.914689937237673,***
hormuz_closure,r_DCOILBRENTEU,"(0,20)",0.5614989126968081,7.227097450422227,***
