event,series,method,window,CAR,t,sig
ukraine,EUR,market_model,"(-1,1)",0.00016937805737215973,0.0346977682680895,
ukraine,EUR,market_model,"(0,1)",0.0011142586722603827,0.27956065354378695,
ukraine,EUR,market_model,"(0,5)",-0.010770991351726036,-1.56021724570553,
ukraine,EUR,market_model,"(0,10)",-0.01313020719153319,-1.404689249517439,
ukraine,EUR,market_model,"(0,20)",-0.01781263108163607,-1.379187930650109,
ukraine,GBP,const_mean,"(-1,1)",-0.012883857401561914,-1.9486191947338212,*
ukraine,GBP,const_mean,"(0,1)",-0.009889461770191676,-1.8318898328517854,*
ukraine,GBP,const_mean,"(0,5)",-0.013595586660920225,-1.4539987108954997,
ukraine,GBP,const_mean,"(0,10)",-0.03291416345929318,-2.599729565369829,***
ukraine,GBP,const_mean,"(0,20)",-0.023801292372477658,-1.3606066398253847,
ukraine,GBP,market_model,"(-1,1)",-0.008298674916702796,-1.6785796651123246,*
ukraine,GBP,market_model,"(0,1)",-0.005481705226008523,-1.3579835615550424,
ukraine,GBP,market_model,"(0,5)",-0.0038053113526100176,-0.5442624899811072,
ukraine,GBP,market_model,"(0,10)",-0.019323391345797573,-2.041177815409159,**
ukraine,GBP,market_model,"(0,20)",-0.018625711013297085,-1.4239575599657304,
ukraine,HKD,const_mean,"(-1,1)",-0.000798793498277935,-1.3763230808052205,
ukraine,HKD,const_mean,"(0,1)",-0.0004085935889033608,-0.8622298408153035,
ukraine,HKD,const_mean,"(0,5)",-0.0013659928240848575,-1.6642527826393982,*
ukraine,HKD,const_mean,"(0,10)",-0.0022258823733228737,-2.0028681797330874,**
ukraine,HKD,const_mean,"(0,20)",-0.0021616455288948305,-1.407736368533511,
ukraine,HKD,market_model,"(-1,1)",-0.0006721806412245708,-1.1842922205583766,
ukraine,HKD,market_model,"(0,1)",-0.0002868800799868582,-0.6190402655218387,
ukraine,HKD,market_model,"(0,5)",-0.0010956492265906679,-1.3649898264216118,
ukraine,HKD,market_model,"(0,10)",-0.0018505938231870686,-1.7027397274040796,*
ukraine,HKD,market_model,"(0,20)",-0.002018729702761005,-1.3443180469758205,
ukraine,HUF,const_mean,"(-1,1)",-0.03057112180864022,-2.8440319396553626,***
ukraine,HUF,const_mean,"(0,1)",-0.01238815870290028,-1.411482454018955,
ukraine,HUF,const_mean,"(0,5)",-0.07160063889632085,-4.7100443191884285,***
ukraine,HUF,const_mean,"(0,10)",-0.07682677342411963,-3.7325013436919514,***
ukraine,HUF,const_mean,"(0,20)",-0.05792051251666595,-2.0366034260793078,**
ukraine,HUF,market_model,"(-1,1)",-0.02298414165039646,-2.9009195615957037,***
ukraine,HUF,market_model,"(0,1)",-0.005094760554949755,-0.7875475854159961,
ukraine,HUF,market_model,"(0,5)",-0.055400929342083634,-4.944352769863495,***
ukraine,HUF,market_model,"(0,10)",-0.0543384823472004,-3.5816173602089485,***
ukraine,HUF,market_model,"(0,20)",-0.049356614959885144,-2.354527372834623,**
ukraine,IDR,const_mean,"(-1,1)",-0.0003131966819962229,-0.08906656798287756,
ukraine,IDR,const_mean,"(0,1)",-0.0021017963504649487,-0.7320383416822659,
ukraine,IDR,const_mean,"(0,5)",-0.003550890730608046,-0.7140356175260204,
ukraine,IDR,const_mean,"(0,10)",0.003763497268499815,0.5589248968582294,
ukraine,IDR,const_mean,"(0,20)",-0.0012886430731958265,-0.1385100190618204,
ukraine,IDR,market_model,"(-1,1)",0.0008487711025977644,0.2544434998591623,
ukraine,IDR,market_model,"(0,1)",-0.0009847914932784383,-0.36156858826767846,
ukraine,IDR,market_model,"(0,5)",-0.0010698587219306493,-0.2267838946362293,
ukraine,IDR,market_model,"(0,10)",0.007207643584548881,1.128387751077294,
ukraine,IDR,market_model,"(0,20)",2.29424145729906e-05,0.0025995063270778324,
ukraine,ILS,const_mean,"(-1,1)",-0.0009448695940199271,-0.11765627370875523,
ukraine,ILS,const_mean,"(0,1)",0.0019703342395043155,0.3004891187494437,
ukraine,ILS,const_mean,"(0,5)",-0.00445856520299045,-0.39257563383550076,
ukraine,ILS,const_mean,"(0,10)",-0.010257784346101558,-0.6670541115483303,
ukraine,ILS,const_mean,"(0,20)",0.0035501515829429206,0.16708639653619578,
ukraine,ILS,market_model,"(-1,1)",0.0024158689062161497,0.3283366714351872,
ukraine,ILS,market_model,"(0,1)",0.005201027274431362,0.8657266518640506,
ukraine,ILS,market_model,"(0,5)",0.0027172790006366344,0.26113510661266837,
ukraine,ILS,market_model,"(0,10)",-0.000296341973723905,-0.02103310940313269,
ukraine,ILS,market_model,"(0,20)",0.007343626671958212,0.37723119333166377,
ukraine,INR,const_mean,"(-1,1)",-0.00571405698319815,-1.2397945922998932,
ukraine,INR,const_mean,"(0,1)",-0.005657066835038967,-1.503287720304414,
ukraine,INR,const_mean,"(0,5)",-0.0172065790139313,-2.639883162160914,***
ukraine,INR,const_mean,"(0,10)",-0.021280487038488317,-2.4112987373108346,**
