event,series,method,window,CAR,t,sig
hormuz_ceasefire,d_DGS10,const_mean,"(0,10)",-0.03724999999999991,-0.3292230907009149,
hormuz_ceasefire,d_DGS10,const_mean,"(0,20)",0.09525000000000015,0.6092782713292884,
hormuz_ceasefire,d_DGS5,const_mean,"(-1,1)",-0.0700000000000002,-1.0711596146747697,
hormuz_ceasefire,d_DGS5,const_mean,"(0,1)",-0.06,-1.1244833524411808,
hormuz_ceasefire,d_DGS5,const_mean,"(0,5)",-0.10999999999999971,-1.190238071423806,
hormuz_ceasefire,d_DGS5,const_mean,"(0,10)",-0.0699999999999997,-0.5593948646309732,
hormuz_ceasefire,d_DGS5,const_mean,"(0,20)",0.10000000000000017,0.5783718275275939,
hormuz_ceasefire,d_DFII5,const_mean,"(-1,1)",-0.016499999999999806,-0.31442174808969675,
hormuz_ceasefire,d_DFII5,const_mean,"(0,1)",-0.01766666666666647,-0.41231475639640863,
hormuz_ceasefire,d_DFII5,const_mean,"(0,5)",-0.09299999999999982,-1.2531313194598928,
hormuz_ceasefire,d_DFII5,const_mean,"(0,10)",-0.05716666666666648,-0.5688998092396694,
hormuz_ceasefire,d_DFII5,const_mean,"(0,20)",0.05449999999999995,0.39253294802456434,
hormuz_ceasefire,d_T5YIE,const_mean,"(-1,1)",-0.053499999999999784,-1.4183583111682556,
hormuz_ceasefire,d_T5YIE,const_mean,"(0,1)",-0.042333333333333424,-1.3745491436739492,
hormuz_ceasefire,d_T5YIE,const_mean,"(0,5)",-0.017000000000000275,-0.3186882852270969,
hormuz_ceasefire,d_T5YIE,const_mean,"(0,10)",-0.012833333333333384,-0.17767893213771935,
hormuz_ceasefire,d_T5YIE,const_mean,"(0,20)",0.045499999999999596,0.4559262027787457,
hormuz_ceasefire,d_VIXCLS,const_mean,"(-1,1)",-3.0650000000000017,-1.0792401947606662,
hormuz_ceasefire,d_VIXCLS,const_mean,"(0,1)",-3.286666666666669,-1.4173885579372771,
hormuz_ceasefire,d_VIXCLS,const_mean,"(0,5)",-6.280000000000001,-1.563623823273919,
hormuz_ceasefire,d_VIXCLS,const_mean,"(0,10)",-5.531666666666667,-1.0172036727723976,
hormuz_ceasefire,d_VIXCLS,const_mean,"(0,20)",-8.435000000000002,-1.1225965409759122,
hormuz_ceasefire,d_GPRD,const_mean,"(-1,1)",71.42519531250001,0.683046739686684,
hormuz_ceasefire,d_GPRD,const_mean,"(0,1)",-15.571710205078123,-0.1823815609335269,
hormuz_ceasefire,d_GPRD,const_mean,"(0,5)",19.505267333984392,0.13189729691000765,
hormuz_ceasefire,d_GPRD,const_mean,"(0,10)",-163.07931213378905,-0.8144457132623704,
hormuz_ceasefire,d_GPRD,const_mean,"(0,20)",-60.95142822265625,-0.22030981844741665,
hormuz_ceasefire,d_GPRD_ACT,const_mean,"(-1,1)",96.53177471160889,0.6730800106440581,
hormuz_ceasefire,d_GPRD_ACT,const_mean,"(0,1)",96.13304023742677,0.8209462228494353,
hormuz_ceasefire,d_GPRD_ACT,const_mean,"(0,5)",-30.59028968811029,-0.15082210371874896,
hormuz_ceasefire,d_GPRD_ACT,const_mean,"(0,10)",-256.38844165801993,-0.9335963169631211,
hormuz_ceasefire,d_GPRD_ACT,const_mean,"(0,20)",-133.0003858566283,-0.35050989536640054,
hormuz_ceasefire,d_GPRD_THREAT,const_mean,"(-1,1)",89.143595123291,0.5790112454963111,
hormuz_ceasefire,d_GPRD_THREAT,const_mean,"(0,1)",12.596055603027345,0.10020215279244142,
hormuz_ceasefire,d_GPRD_THREAT,const_mean,"(0,5)",185.7673233032228,0.8532006531364439,
hormuz_ceasefire,d_GPRD_THREAT,const_mean,"(0,10)",-76.72724838256826,-0.26026199954525664,
hormuz_ceasefire,d_GPRD_THREAT,const_mean,"(0,20)",51.399437713623186,0.1261845553390349,
hormuz_ceasefire,d_VXY_Global,const_mean,"(-1,1)",-0.4782500000000002,-2.043934620125776,**
hormuz_ceasefire,d_VXY_Global,const_mean,"(0,1)",-0.4938333333333338,-2.584866104885279,***
