typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,query_label
C,A,20200101,2020,52,2020,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,123156541900.0,False,8,kg,123156541900.0,False,123156541900.0,False,0.0,False,43495449526.743,0.0,43495449526.743,0,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,410,KOR,Rep. of Korea,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,131433032990.873,True,-1,N/A,0.0,False,131433032990.873,True,0.0,False,44455595815.0,,44455595815.0,6,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,410,KOR,Rep. of Korea,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1401.744,False,8,kg,1401.744,False,1401.744,False,0.0,False,,3234.0,3234.0,0,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,414,KWT,Kuwait,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,True,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,28629492308.0,28629492308.0,6,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,484,MEX,Mexico,X,Export,0,W00,World,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48419567931.325,True,-1,N/A,0.0,False,48419567931.325,True,0.0,False,,14683690556.0,14683690556.0,6,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,490,S19,"Other Asia, nes",M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36110562000.0,False,7,l,42216270100.0,False,36110562000.0,False,0.0,False,12636707015.557,0.0,12636707015.557,0,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,579,NOR,Norway,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3235819500.0,False,-1,N/A,0.0,False,3235819500.0,False,0.0,False,1036073856.993,0.0,1036073856.993,0,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,579,NOR,Norway,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,75958060280.0,False,-1,N/A,0.0,False,75958060280.0,False,0.0,False,0.0,22558847311.643,22558847311.643,0,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,682,SAU,Saudi Arabia,X,Export,0,W00,World,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,335109400000.0,False,8,kg,335109400000.0,False,335109400000.0,False,0.0,False,,100382507626.704,100382507626.704,0,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,699,IND,India,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,196914648567.86,True,-1,N/A,0.0,False,196914648567.86,True,0.0,False,64579747983.623,0.0,64579747983.623,6,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41660827869.0,False,7,l,53670478407.0,False,,False,0.0,False,16128573982.305,,16128573982.305,0,False,True,reporter_world_2020
C,A,20200101,2020,52,2020,764,THA,Thailand,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1255191893.042,True,-1,N/A,0.0,False,1255191893.042,True,0.0,False,,369503254.236,369503254.236,6,False,True,reporter_world_2020
C,A,20210101,2021,52,2021,76,BRA,Brazil,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,0.0,False,4093484412.0,3995458870.0,4093484412.0,0,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67564853418.18,True,-1,N/A,0.0,False,67564853418.18,True,0.0,False,,30608981810.0,30608981810.0,6,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,124,CAN,Canada,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23298264477.043,True,-1,N/A,0.0,False,23298264477.043,True,0.0,False,,11824567143.042,11824567143.042,6,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,0.0,False,149657908.13,146582115.58,149657908.13,0,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,124,CAN,Canada,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,173111068694.86,True,-1,N/A,0.0,False,173111068694.86,True,0.0,False,,81939749590.761,81939749590.761,6,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,170,COL,Colombia,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24961839966.237,True,-1,N/A,0.0,False,24961839966.237,True,0.0,False,,11200541488.13,11200541488.13,6,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,122050281900.0,False,8,kg,122050281900.0,False,122050281900.0,False,0.0,False,63103354048.043,0.0,63103354048.043,0,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,129008209252.63,False,8,kg,129008209252.63,False,129008209252.63,False,0.0,False,67012528175.0,,67012528175.0,0,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,392,JPN,Japan,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,199916.0,False,8,kg,199916.0,False,199916.0,False,0.0,False,0.0,110164.124,110164.124,0,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.744,False,8,kg,1.744,False,1.744,False,0.0,False,,9.0,9.0,0,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,414,KWT,Kuwait,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,0.0,False,,41770746523.0,41770746523.0,0,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,484,MEX,Mexico,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50979735739.51,True,-1,N/A,0.0,False,50979735739.51,True,0.0,False,,24130558561.0,24130558561.0,6,False,True,reporter_world_2021
C,A,20210101,2021,52,2021,490,S19,"Other Asia, nes",M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38323685000.0,False,7,l,44883044200.0,False,38323685000.0,False,0.0,False,19893277357.602,0.0,19893277357.602,0,False,True,reporter_world_2021
