day,month,year,daily_tpu_index
26,1,2024,76.6283524904214
27,1,2024,76.7263427109974
28,1,2024,36.7647058823529
29,1,2024,153.452685421994
30,1,2024,64.6551724137931
31,1,2024,40.2414486921529
1,2,2024,43.95604395604391
2,2,2024,113.636363636363
3,2,2024,54.7945205479452
4,2,2024,37.8071833648393
5,2,2024,104.986876640419
6,2,2024,66.96428571428571
7,2,2024,19.0839694656488
8,2,2024,62.11180124223601
9,2,2024,38.5356454720616
10,2,2024,26.1096605744125
11,2,2024,18.2815356489945
12,2,2024,112.676056338028
13,2,2024,91.743119266055
14,2,2024,85.1063829787234
15,2,2024,78.43137254901961
16,2,2024,54.3478260869565
17,2,2024,111.42061281337
18,2,2024,56.9259962049335
19,2,2024,31.4465408805031
20,2,2024,70.4225352112676
21,2,2024,127.659574468085
22,2,2024,63.1578947368421
23,2,2024,37.8787878787878
24,2,2024,54.20054200542
25,2,2024,0.0
26,2,2024,76.3358778625954
27,2,2024,72.1153846153846
28,2,2024,83.16008316008309
29,2,2024,62.6304801670146
1,3,2024,129.589632829373
2,3,2024,50.7614213197969
3,3,2024,36.7647058823529
4,3,2024,48.5436893203883
5,3,2024,23.2018561484918
6,3,2024,60.2409638554216
7,3,2024,43.7636761487965
8,3,2024,75.4716981132075
9,3,2024,75.7575757575757
10,3,2024,70.4225352112676
11,3,2024,76.9230769230769
12,3,2024,67.8733031674208
13,3,2024,103.734439834024
14,3,2024,42.64392324093809
15,3,2024,40.3225806451612
16,3,2024,76.7263427109974
17,3,2024,88.33922261484099
18,3,2024,234.192037470726
19,3,2024,46.0829493087557
20,3,2024,40.7331975560081
21,3,2024,21.8818380743982
22,3,2024,60.7287449392712
23,3,2024,50.8905852417302
24,3,2024,87.5656742556917
25,3,2024,102.827763496143
26,3,2024,69.6055684454756
27,3,2024,137.524557956778
28,3,2024,182.232346241457
29,3,2024,184.049079754601
30,3,2024,131.233595800524
31,3,2024,96.3391136801541
1,4,2024,107.816711590296
2,4,2024,141.843971631205
3,4,2024,21.1864406779661
4,4,2024,41.66666666666659
5,4,2024,38.9863547758284
6,4,2024,101.78117048346
7,4,2024,91.07468123861561
8,4,2024,54.4959128065395
9,4,2024,69.1244239631336
10,4,2024,62.5
11,4,2024,101.626016260162
12,4,2024,59.171597633136
13,4,2024,105.263157894736
14,4,2024,127.970749542961
15,4,2024,121.654501216545
16,4,2024,43.010752688172
17,4,2024,156.555772994129
18,4,2024,110.132158590308
19,4,2024,191.204588910133
20,4,2024,76.9230769230769
21,4,2024,71.8132854578097
22,4,2024,146.341463414634
23,4,2024,0.0
24,4,2024,60.2409638554216
25,4,2024,122.199592668024
26,4,2024,193.050193050193
27,4,2024,53.1914893617021
28,4,2024,48.2315112540193
29,4,2024,147.783251231527
30,4,2024,65.5021834061135
1,5,2024,61.0997963340122
2,5,2024,61.7283950617283
3,5,2024,20.3252032520325
4,5,2024,25.7069408740359
5,5,2024,37.3134328358208
6,5,2024,84.5070422535211
7,5,2024,105.708245243128
8,5,2024,60.8519269776876
9,5,2024,63.5593220338983
10,5,2024,61.0997963340122
11,5,2024,77.5193798449612
12,5,2024,35.778175313059
13,5,2024,192.771084337349
14,5,2024,135.746606334841
15,5,2024,261.044176706827
16,5,2024,115.830115830115
17,5,2024,77.2200772200772
18,5,2024,152.28426395939
19,5,2024,84.17508417508411
20,5,2024,193.704600484261
21,5,2024,122.249388753056
22,5,2024,138.613861386138
23,5,2024,83.50730688935279
24,5,2024,60.3621730382293
25,5,2024,51.81347150259059
26,5,2024,19.047619047619
27,5,2024,92.5925925925925
28,5,2024,189.125295508274
29,5,2024,124.740124740124
30,5,2024,65.78947368421049
31,5,2024,124.481327800829
1,6,2024,129.870129870129
2,6,2024,57.471264367816
3,6,2024,102.827763496143
4,6,2024,149.253731343283
5,6,2024,62.8930817610062
6,6,2024,21.0970464135021
7,6,2024,74.074074074074
8,6,2024,76.3358778625954
9,6,2024,66.8896321070234
10,6,2024,96.6183574879227
11,6,2024,68.1818181818181
12,6,2024,122.199592668024
13,6,2024,118.343195266272
14,6,2024,111.111111111111
15,6,2024,160.0
16,6,2024,77.66990291262131
17,6,2024,27.6243093922651
18,6,2024,73.3496332518337
19,6,2024,95.2380952380952
20,6,2024,69.1244239631336
21,6,2024,0.0
22,6,2024,119.402985074626
23,6,2024,88.6524822695035
24,6,2024,82.1917808219178
25,6,2024,195.599022004889
26,6,2024,134.529147982062
27,6,2024,153.508771929824
28,6,2024,38.6100386100386
29,6,2024,57.30659025787961
30,6,2024,79.0513833992094
1,7,2024,26.3157894736842
2,7,2024,23.1481481481481
3,7,2024,153.508771929824
4,7,2024,74.8129675810473
5,7,2024,141.700404858299
6,7,2024,60.2409638554216
7,7,2024,20.3252032520325
8,7,2024,49.7512437810945
9,7,2024,72.992700729927
10,7,2024,128.47965738758
11,7,2024,207.03933747412
12,7,2024,93.63295880149809
13,7,2024,79.155672823219
