spec,term,estimator,coef,se,t,p
B: VIX + GPR,gpr_tariff,HAC(7) auto,0.15425420584774138,0.08616750131176854,1.7901668668518504,0.07342708985196335
C: VXY,vxy,classical,0.10709714969452185,0.006900374019188893,15.520484744261823,2.6289701497235306e-51
C: VXY,vxy,HC0,0.10709714969452185,0.012830576078812573,8.347025810584908,7.000342407113489e-17
C: VXY,vxy,HC1,0.10709714969452185,0.0128569222586682,8.329921231523075,8.089616034450128e-17
C: VXY,vxy,HC2,0.10709714969452185,0.013169230457487927,8.132377213706302,4.209525009361573e-16
C: VXY,vxy,HC3,0.10709714969452185,0.01353158756003462,7.914603457973548,2.4804238700511027e-15
C: VXY,vxy,HAC(0),0.10709714969452185,0.012830576078812562,8.347025810584915,7.000342407113088e-17
C: VXY,vxy,HAC(1),0.10709714969452185,0.01403902536200679,7.62853167744495,2.374425040312667e-14
C: VXY,vxy,HAC(2),0.10709714969452185,0.014615479778825954,7.327652004259066,2.3421994763705923e-13
C: VXY,vxy,HAC(3),0.10709714969452185,0.014619752441465156,7.325510477918108,2.3799103093341037e-13
C: VXY,vxy,HAC(4),0.10709714969452185,0.01495802161561776,7.15984723425597,8.0767014875717e-13
C: VXY,vxy,HAC(5),0.10709714969452185,0.015460362221667724,6.927208312391608,4.2922632518419955e-12
C: VXY,vxy,HAC(6),0.10709714969452185,0.015766609102298157,6.792655858951387,1.1008777651602704e-11
C: VXY,vxy,HAC(7),0.10709714969452185,0.016064584467747018,6.66666168113726,2.6168737897970335e-11
C: VXY,vxy,HAC(8),0.10709714969452185,0.01630128264470849,6.569860300489073,5.03624895181147e-11
C: VXY,vxy,HAC(10),0.10709714969452185,0.016920416527613297,6.329462960899603,2.4601593753741053e-10
C: VXY,vxy,HAC(12),0.10709714969452185,0.017575935031734664,6.093396994307838,1.1053947273265291e-09
C: VXY,vxy,HAC(15),0.10709714969452185,0.018522977045849983,5.781854041573552,7.388179785388173e-09
C: VXY,vxy,HAC(21),0.10709714969452185,0.019598153896005648,5.464655000813602,4.638079582294296e-08
C: VXY,vxy,HAC(7) auto,0.10709714969452185,0.016064584467747018,6.66666168113726,2.6168737897970335e-11
C: VXY,vxy_tariff,classical,-0.12650411952671542,0.02731261875949589,-4.631709637243525,3.866590789064347e-06
C: VXY,vxy_tariff,HC0,-0.12650411952671542,0.06252568931926539,-2.023234304235604,0.04304899647483665
C: VXY,vxy_tariff,HC1,-0.12650411952671542,0.06265407896025138,-2.0190883279438423,0.04347803979736644
C: VXY,vxy_tariff,HC2,-0.12650411952671542,0.06857933511768428,-1.8446390492067384,0.06509006264116557
C: VXY,vxy_tariff,HC3,-0.12650411952671542,0.07545954882859886,-1.6764494552447002,0.09365018878629723
C: VXY,vxy_tariff,HAC(0),-0.12650411952671542,0.06252568931926543,-2.0232343042356025,0.04304899647483685
C: VXY,vxy_tariff,HAC(1),-0.12650411952671542,0.047160751624321026,-2.6824025311224395,0.007309544855170652
C: VXY,vxy_tariff,HAC(2),-0.12650411952671542,0.04195720046491613,-3.015075317822883,0.0025691544825395267
C: VXY,vxy_tariff,HAC(3),-0.12650411952671542,0.04115939470597501,-3.0735174904880496,0.0021155128635014513
C: VXY,vxy_tariff,HAC(4),-0.12650411952671542,0.044022988877280504,-2.8735922469817123,0.004058325423342947
C: VXY,vxy_tariff,HAC(5),-0.12650411952671542,0.03956642957620546,-3.1972589106901053,0.0013874033463373067
C: VXY,vxy_tariff,HAC(6),-0.12650411952671542,0.040078829939285174,-3.156382552044424,0.0015973920370558462
C: VXY,vxy_tariff,HAC(7),-0.12650411952671542,0.0386232836545084,-3.275333103687286,0.001055374525814994
C: VXY,vxy_tariff,HAC(8),-0.12650411952671542,0.03803471007138679,-3.3260177161671978,0.0008809632905149711
C: VXY,vxy_tariff,HAC(10),-0.12650411952671542,0.03570558623728266,-3.542978364394526,0.00039563515944779256
C: VXY,vxy_tariff,HAC(12),-0.12650411952671542,0.03332188921052571,-3.7964269891022666,0.00014679656980833968
C: VXY,vxy_tariff,HAC(15),-0.12650411952671542,0.03068398079129883,-4.1228066327882935,3.7428388105374845e-05
C: VXY,vxy_tariff,HAC(21),-0.12650411952671542,0.028063576767054302,-4.50776893397377,6.55128651352448e-06
C: VXY,vxy_tariff,HAC(7) auto,-0.12650411952671542,0.0386232836545084,-3.275333103687286,0.001055374525814994
C: VXY,vxy_hormuz,classical,0.16128211047134197,0.06063568313422563,2.6598547610046923,0.007881589350248182
C: VXY,vxy_hormuz,HC0,0.16128211047134197,0.048215472313578575,3.345028115091621,0.0008227422986846082
C: VXY,vxy_hormuz,HC1,0.16128211047134197,0.04831447749445234,3.33817354207879,0.0008433106140521974
C: VXY,vxy_hormuz,HC2,0.16128211047134197,0.051916460339455954,3.1065698511955233,0.0018927158650586576
C: VXY,vxy_hormuz,HC3,0.16128211047134197,0.056120686377657304,2.8738442253897913,0.004055089145622424
C: VXY,vxy_hormuz,HAC(0),0.16128211047134197,0.048215472313578596,3.3450281150916195,0.0008227422986846118
C: VXY,vxy_hormuz,HAC(1),0.16128211047134197,0.04929527283215299,3.2717561178836854,0.0010688173095692284
C: VXY,vxy_hormuz,HAC(2),0.16128211047134197,0.04659814794830877,3.4611270527372007,0.000537918875211037
C: VXY,vxy_hormuz,HAC(3),0.16128211047134197,0.04525821087381661,3.563598899678314,0.0003658047813261871
C: VXY,vxy_hormuz,HAC(4),0.16128211047134197,0.04337005333253934,3.7187436509407403,0.00020021611159641117
C: VXY,vxy_hormuz,HAC(5),0.16128211047134197,0.04148201040010135,3.8880013026308853,0.00010107308440730756
C: VXY,vxy_hormuz,HAC(6),0.16128211047134197,0.03951696178887224,4.081338826932746,4.4777023111900436e-05
C: VXY,vxy_hormuz,HAC(7),0.16128211047134197,0.03747491773668417,4.30373487687374,1.6794262267320416e-05
C: VXY,vxy_hormuz,HAC(8),0.16128211047134197,0.03566076622962675,4.522676530078306,6.106252173153493e-06
C: VXY,vxy_hormuz,HAC(10),0.16128211047134197,0.0339767524748235,4.746837137859209,2.0662218991251785e-06
C: VXY,vxy_hormuz,HAC(12),0.16128211047134197,0.03228982183031507,4.994828132496024,5.888818670603214e-07
